Cat,Date,Time
wilcox,18647,10:58:46
wilcox,2021-01-20,10:58:55
wilcox,2021-01-20,10:59:18
wilcox,2021-01-20,10:59:50
permanova,2021-01-21,11:01:09
permanova,2021-01-21,11:01:21
permanova,2021-01-21,11:02:49
permanova,2021-01-21,11:03:32
permanova,2021-01-21,11:06:58
t-test,2021-01-22,15:18:28
t-test,2021-01-22,15:20:40
oplsda,2021-01-22,16:19:27
t-test,2021-01-23,11:30:05
t-test,2021-01-23,11:31:51
t-test,2021-01-23,11:34:01
t-test,2021-01-23,11:38:39
t-test,2021-01-23,11:42:25
t-test,2021-01-23,11:50:46
t-test,2021-01-23,12:01:17
t-test,2021-01-23,12:03:11
t-test,2021-01-23,12:04:45
t-test,2021-01-23,12:05:15
t-test,2021-01-23,12:06:07
t-test,2021-01-23,12:07:51
t-test,2021-01-23,12:12:14
t-test,2021-01-23,12:13:48
t-test,2021-01-23,12:14:54
t-test,2021-01-23,12:16:10
t-test,2021-01-23,12:18:04
t-test,2021-01-23,12:20:30
t-test,2021-01-23,13:34:24
t-test,2021-01-23,13:56:34
t-test,2021-01-23,13:58:47
t-test,2021-01-23,14:03:28
t-test,2021-01-23,14:04:49
t-test,2021-01-23,14:06:44
t-test,2021-01-23,14:08:50
t-test,2021-01-23,14:17:41
t-test,2021-01-23,14:23:34
t-test,2021-01-23,14:26:25
t-test,2021-01-23,14:29:08
t-test,2021-01-23,14:42:56
t-test,2021-01-23,14:46:23
t-test,2021-01-23,14:48:04
t-test,2021-01-23,15:04:54
t-test,2021-01-23,15:09:25
t-test,2021-01-23,15:12:28
t-test,2021-01-23,15:15:35
t-test,2021-01-23,15:25:17
t-test,2021-01-23,15:26:24
t-test,2021-01-23,15:31:31
t-test,2021-01-23,15:31:41
t-test,2021-01-23,15:45:22
t-test,2021-01-23,15:53:06
t-test,2021-01-23,15:54:33
t-test,2021-01-23,15:55:35
t-test,2021-01-23,15:57:48
t-test,2021-01-23,15:59:26
t-test,2021-01-23,16:01:40
retgression,2021-01-23,16:02:10
retgression,2021-01-23,16:02:15
t-test,2021-01-23,16:03:31
t-test,2021-01-23,16:03:39
t-test,2021-01-23,16:05:02
pca,2021-01-28,21:12:27
pca,2021-01-28,21:17:19
pca,2021-01-28,21:18:58
pca,2021-01-28,21:19:42
pca,2021-01-28,21:20:41
pca,2021-01-28,21:21:21
pca,2021-01-28,21:23:19
pca,2021-01-28,21:24:32
pca,2021-01-28,21:24:39
pca,2021-01-28,21:26:10
pca,2021-01-28,21:26:19
pca,2021-01-28,21:26:29
pca,2021-01-28,21:26:43
pca,2021-01-28,21:29:19
pcoa,2021-01-29,20:12:04
pcoa,2021-01-29,20:16:53
pcoa,2021-01-29,20:17:21
pcoa,2021-01-29,20:19:25
pca,2021-01-29,20:30:45
pca,2021-01-29,20:30:51
pca,2021-01-29,20:30:56
pca,2021-01-29,20:31:04
pcoa,2021-01-29,20:32:39
pcoa,2021-01-29,20:32:51
pcoa,2021-01-29,20:32:55
pcoa,2021-01-29,20:33:05
pcoa,2021-01-29,20:33:12
pcoa,2021-01-29,20:33:21
pcoa,2021-01-29,20:37:16
pcoa,2021-01-29,20:40:19
pcoa,2021-01-29,20:41:48
pcoa,2021-01-29,20:41:58
pcoa,2021-01-29,20:42:06
pcoa,2021-01-29,20:42:21
pca,2021-01-29,20:42:57
anova,2021-02-02,14:22:48
anova,2021-02-02,14:24:55
anova,2021-02-02,14:46:44
anova,2021-02-02,14:51:22
anova,2021-02-02,14:52:42
anova,2021-02-02,14:56:25
anova,2021-02-02,14:56:29
anova,2021-02-02,14:56:53
anova,2021-02-02,15:01:25
plsda,2021-02-02,16:00:55
plsda,2021-02-02,16:02:46
plsda,2021-02-02,16:04:06
anova,2021-02-03,09:27:56
anova,2021-02-03,09:28:59
anova,2021-02-03,09:29:31
anova,2021-02-03,21:31:18
anova,2021-02-03,21:32:02
anova,2021-02-03,21:34:47
anova,2021-02-03,21:34:51
t-test,2021-02-11,15:49:33
t-test,2021-02-11,15:49:47
t-test,2021-02-11,16:17:47
anova,2021-03-06,20:36:56
anova,2021-03-06,20:38:54
anova,2021-03-06,20:41:25
anova,2021-03-06,20:42:35
anova,2021-03-06,20:43:20
anova,2021-03-06,20:46:00
